,Experiment Name,Graph,Data Size,Node Size,Edge Size,Dynamics,Method,Model,Acc,TP,FP,FN,Loss,Prediction Acc/MSE,Run Time,Epochs,X
22,gol_50K_erdos_100_MLP_gradient_based5,erdos,50K,100,714,gol,gradient_based,MLP,0.999,0.9957983193277312,0.0004666355576294,0.0042016806722689,5.0,0.71,5298.399998664856,100.0,5.0
23,gol_50K_erdos_100_MLP_deeplift5,erdos,50K,100,714,gol,deeplift,MLP,0.9994,0.9985994397759104,0.0004666355576294,0.0014005602240896,3.0,0.71,1203.0223309993744,100.0,5.0
24,rps_50K_albert_100_MLP_input_change5,albert,50K,100,196,rps,input_change,MLP,0.9954,0.8877551020408163,0.0002081598667776,0.1122448979591836,23.0,0.68,1815.2853779792783,100.0,5.0
25,rps_50K_albert_100_MLP_gradient_based5,albert,50K,100,196,rps,gradient_based,MLP,0.995,0.8877551020408163,0.000624479600333,0.1122448979591836,25.0,0.68,7415.783353567123,100.0,5.0
26,rps_50K_albert_100_MLP_deeplift5,albert,50K,100,196,rps,deeplift,MLP,0.9956,0.8928571428571429,0.0002081598667776,0.1071428571428571,22.0,0.68,1275.3035237789154,100.0,5.0
27,forest_fire_50K_albert_100_MLP_input_change5,albert,50K,100,196,forest_fire,input_change,MLP,0.9658,0.826530612244898,0.0285179017485428,0.173469387755102,171.0,0.48,1921.113755941391,100.0,5.0
28,forest_fire_50K_albert_100_MLP_gradient_based5,albert,50K,100,196,forest_fire,gradient_based,MLP,0.9802,0.8367346938775511,0.0139467110741049,0.1632653061224489,99.0,0.48,7613.582669258118,100.0,5.0
29,forest_fire_50K_albert_100_MLP_deeplift5,albert,50K,100,196,forest_fire,deeplift,MLP,0.9484,0.8163265306122449,0.0462114904246461,0.1836734693877551,258.0,0.48,1411.012796640396,100.0,5.0
30,sis_50K_albert_50_MLP_input_change15,albert,50K,50,96,sis,input_change,MLP,0.9904,0.8958333333333334,0.0017331022530329,0.1041666666666666,12.0,0.62,1070.7232735157013,100.0,15.0
31,sis_50K_albert_50_MLP_gradient_based15,albert,50K,50,96,sis,gradient_based,MLP,0.9912,0.8958333333333334,0.0008665511265164,0.1041666666666666,11.0,0.62,2162.1764681339264,100.0,15.0
32,sis_50K_albert_50_MLP_deeplift15,albert,50K,50,96,sis,deeplift,MLP,0.988,0.8541666666666666,0.0008665511265164,0.1458333333333333,15.0,0.62,1070.9320266246796,100.0,15.0
33,voter_50K_albert_50_MLP_input_change15,albert,50K,50,96,voter,input_change,MLP,0.9912,0.9375,0.0043327556325823,0.0625,11.0,0.77,677.3555343151093,100.0,15.0
34,voter_50K_albert_50_MLP_gradient_based15,albert,50K,50,96,voter,gradient_based,MLP,0.9872,0.8854166666666666,0.0043327556325823,0.1145833333333333,16.0,0.77,1773.9805793762207,100.0,15.0
35,voter_50K_albert_50_MLP_deeplift15,albert,50K,50,96,voter,deeplift,MLP,0.988,0.8958333333333334,0.0043327556325823,0.1041666666666666,15.0,0.77,680.1451263427734,100.0,15.0
36,gol_50K_albert_50_MLP_input_change15,albert,50K,50,96,gol,input_change,MLP,0.992,0.9479166666666666,0.0043327556325823,0.0520833333333333,10.0,0.7,1093.0188431739807,100.0,15.0
37,gol_50K_albert_50_MLP_gradient_based15,albert,50K,50,96,gol,gradient_based,MLP,0.9904,0.9895833333333334,0.0095320623916811,0.0104166666666666,12.0,0.7,2161.207347869873,100.0,15.0
38,gol_50K_albert_50_MLP_deeplift15,albert,50K,50,96,gol,deeplift,MLP,0.9912,1.0,0.0095320623916811,0.0,11.0,0.7,1094.0415201187134,100.0,15.0
39,forest_fire_50K_albert_50_MLP_input_change15,albert,50K,50,96,forest_fire,input_change,MLP,0.9976,0.96875,0.0,0.03125,3.0,0.5,971.741143465042,100.0,15.0
40,forest_fire_50K_albert_50_MLP_gradient_based15,albert,50K,50,96,forest_fire,gradient_based,MLP,0.9976,0.96875,0.0,0.03125,3.0,0.5,2590.926968574524,100.0,15.0
